ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,BILL_AMT1,PAY_AMT1,PAY_2,BILL_AMT2,PAY_AMT2,PAY_3,BILL_AMT3,PAY_AMT3,PAY_4,BILL_AMT4,PAY_AMT4,PAY_5,BILL_AMT5,PAY_AMT5,PAY_6,BILL_AMT6,PAY_AMT6,default.payment.next.month
1,131958,1,3,2,48,3,275259,32546,0,85280,2340,1,76040,43620,2,208612,7790,3,105797,28404,0,77885,29877,1
2,156867,1,3,3,59,-1,-2889,17613,-2,215736,48655,1,124939,2828,-2,183731,44379,-2,131489,48641,5,173531,338,0
3,141932,2,3,2,45,-1,87194,26135,-1,152956,43841,8,76526,9218,8,88621,16443,-2,169535,16611,-2,239491,8787,0
4,375838,1,3,2,31,-1,210864,8143,7,184511,10485,1,29380,25805,4,138729,40193,8,19943,7842,5,286166,28681,0
5,269178,1,4,3,28,5,229274,22683,1,106807,30459,2,151842,24571,1,105357,4991,2,93026,5106,1,151429,44326,1
6,129879,1,1,1,54,5,103473,29315,-2,225049,13807,-1,53646,3682,5,221435,12578,4,71652,2951,3,255776,29247,0
7,120268,1,1,3,47,5,75537,34285,2,166549,43345,1,88290,25076,7,16394,885,8,72582,33745,0,-2025,32958,0
8,217892,1,1,2,64,-2,252607,29335,5,183558,34135,8,259332,22200,4,296028,6807,2,85092,1158,4,179679,6232,1
9,64886,2,2,3,42,6,51829,35607,1,10780,4658,7,275913,48193,6,12785,35315,3,44674,1609,8,279716,43478,0
10,147337,1,3,1,28,7,241798,49459,0,133998,48990,-1,69838,36046,2,138843,48656,7,296706,33036,8,161695,43148,1
11,485602,2,3,3,53,1,55982,18880,-1,122890,45985,6,81246,7847,0,26822,24419,4,150471,47100,6,50286,7300,0
12,440410,2,4,3,59,6,241643,44602,-2,62279,26787,-2,252406,10786,3,35353,13858,6,5976,41027,4,192980,31747,0
13,97498,2,4,2,29,4,172797,48614,4,2206,31307,6,118334,7862,-2,200609,22102,0,178244,40866,2,161871,30054,1
14,384871,2,3,3,42,0,284488,44830,1,227416,25021,8,14348,32129,6,-3417,36708,-2,116605,44169,1,99905,46136,0
15,398468,2,1,2,29,7,126633,20806,1,204675,45922,-1,123206,27943,7,98017,42123,7,96912,19523,-2,69839,30317,1
16,185203,1,1,1,51,7,97427,10890,7,61264,8415,4,257058,32209,-1,106399,43643,3,240999,23160,3,235280,3990,0
17,201335,2,3,3,54,0,281301,48516,3,172814,43060,8,278034,49331,8,100470,2132,8,256536,28067,3,233019,39685,0
18,288167,2,2,3,24,-1,44387,8349,6,140987,39507,-2,8006,24226,6,243711,23247,6,197833,2974,5,104669,49874,0
19,51090,1,1,2,34,4,227996,28087,6,267901,47411,-2,258116,29865,6,188783,7097,-1,28611,35884,1,287750,6706,1
20,339365,2,3,2,28,5,258601,12969,5,227535,13200,-1,158673,16774,6,283719,20931,8,152490,7158,2,-8281,49623,1
21,74820,1,3,1,61,-2,106987,39524,1,138208,24829,-1,152563,25492,0,143803,5463,4,13650,2512,5,220774,24568,1
22,272913,1,4,2,55,4,53537,14730,2,245423,43496,8,14631,34112,7,246407,10128,1,224033,17502,7,298281,1211,0
23,331879,1,4,2,42,-1,213158,24353,2,258444,8129,2,240061,2998,8,144813,38364,-1,199669,47089,7,105792,17903,0
24,204027,1,3,1,26,4,278219,3759,3,58731,26383,2,204243,28983,-2,100758,15498,5,10616,3607,2,76849,17920,1
25,337069,1,2,2,53,3,296411,47126,2,120466,23800,6,-3764,1907,7,165078,40361,7,86206,19276,8,180191,45967,1
26,262709,2,3,2,38,6,22084,44348,8,461,10609,5,145614,39080,0,155672,33591,7,126255,39945,3,20810,19716,0
27,209041,1,1,2,28,4,255737,23553,7,241008,7035,0,222531,10006,2,199298,41414,0,89593,12908,8,8618,30493,1
28,277455,1,2,2,27,6,45617,6577,8,90445,4953,4,128379,37830,0,102403,32284,7,29345,635,1,233845,33731,1
29,113355,2,2,1,52,2,217636,43912,7,248323,32207,4,61617,30988,7,252871,25271,0,255478,28426,-2,39484,26372,1
30,245796,2,4,1,27,3,221178,37616,5,1007,46560,0,42028,36421,7,237108,16845,3,608,34895,-2,174261,8892,1
31,224176,2,3,2,30,3,136615,10955,6,210055,42332,1,246007,36895,2,173776,26240,8,83854,8048,1,269374,5863,1
32,194779,2,4,3,56,0,212798,41407,4,46008,38455,4,233136,49343,2,221733,588,5,168762,21214,4,231346,41800,0
33,357449,1,1,1,51,0,191584,42560,5,251917,36034,5,120838,14470,1,7203,45773,-1,98573,14203,8,63920,7027,0
34,431909,2,4,3,51,-2,54088,18209,-1,211695,13609,3,58587,1463,2,204409,4868,3,24703,44333,-2,279642,43658,0
35,475148,1,1,2,30,1,133018,30915,3,140677,15742,0,63682,9052,4,225356,8152,0,277195,40674,-1,34923,26208,0
36,268795,2,3,2,40,0,131442,18885,4,205546,39731,-1,257208,30153,7,186373,12704,0,120001,17525,3,288154,11843,0
